,Buy-and-Hold,Continuous-Rebalance,New Rebalancing Approach
1947,1100950.405,1126542.287,1148513.989
1948,1106990.209,1132277.111,1154829.186
1949,1114615.456,1139480.596,1162802.123
1950,1114417.598,1139295.573,1162595.221
1951,1114808.445,1139663.227,1163003.87
1952,1114218.864,1139110.575,1162387.382
1953,1116371.752,1141132.86,1164638.42
1954,1113583.028,1138519.45,1161722.51
1955,1116310.26,1141082.677,1164574.081
1956,1119881.893,1144431.465,1168308.56
1957,1120447.087,1144960.569,1168899.505
1958,1122117.016,1146521.385,1170645.562
1959,1122708.384,1147073.908,1171263.875
1960,1126914.332,1150997.156,1175661.593
1961,1136554.242,1159957.296,1185741.06
1962,1134606.767,1158162.208,1183704.76
1963,1136765.246,1160157.07,1185961.644
1964,1138642.727,1161889.356,1187924.716
1965,1134690.822,1158251.328,1183792.583
1966,1131407.189,1155218.767,1180359.195
1967,1138945.382,1162201.479,1188241.108
1968,1131677.326,1155511.394,1180641.607
1969,1145745.173,1168539.06,1195350.927
1970,1134331.327,1158087.191,1183416.588
1971,1134587.149,1158324.479,1183684.054
1972,1146359.398,1169202.896,1195993.096
1973,1138771.169,1162257.565,1188058.822
1974,1138729.656,1162220.218,1188015.395
1975,1134528.923,1158352.229,1183623.087
1976,1130457.984,1154591.54,1179366.492
1977,1119257.176,1144206.981,1167654.905
1978,1123561.14,1148234.527,1172155.109
1979,1111348.772,1136848.501,1159385.835
1980,1116409.481,1141615.381,1164677.292
1981,1110449.047,1136026.423,1158445.04
1982,1116844.954,1142055.904,1165132.579
1983,1128154.101,1152660.1,1176957.402
1984,1123442.565,1148283.9,1172030.999
1985,1118981.796,1144124.571,1167366.796
1986,1121361.152,1146352.403,1169854.63
1987,1121201.172,1146203.721,1169687.333
1988,1127001.371,1151624.197,1175752
1989,1135941.967,1159939.759,1185100.266
1990,1137753.483,1161613.38,1186994.366
1991,1138248.825,1162070.963,1187512.274
1992,1142052.375,1165577.196,1191489.244
1993,1138903.26,1162684.066,1188196.508
1994,1133341.4,1157561.367,1182381.006
1995,1125654.681,1150448.926,1174343.751
1996,1115845.492,1141317.37,1164087.242
1997,1118142.329,1143473.915,1166488.793
1998,1114838.916,1140380.027,1163034.723
1999,1107432.363,1133423.037,1155290.41
2000,1108507.3,1134439.744,1156414.343
2001,1105554.405,1131651.713,1153326.774
2002,1104778.368,1130917.624,1152515.328
2003,1089953.035,1116872.761,1137013.939
2004,1096610.229,1123260.229,1143974.68
2005,1100632.875,1127098.434,1148180.736
2006,1094022.424,1120813.847,1141268.828
2007,1093501.502,1120316.324,1140724.13
2008,1091247.277,1118160.512,1138367.091
2009,1080802.634,1108150.93,1127446.151
2010,1083301.202,1110568.035,1130058.632
2011,1088473.225,1115559.545,1135466.478
2012,1083936.4,1111201.108,1130722.752
2013,1079187.263,1106620.602,1125757.033
2014,1077194.409,1104690.803,1123673.284
2015,1072039.153,1099689.638,1118282.927
2016,1081185.31,1108605.738,1127846.127
2017,1064316.43,1092294.022,1110208.004
2018,1072998.312,1100816.529,1119285.759
2019,1075348.229,1103105.782,1121742.811
2020,1080287.677,1107907.377,1126907.476
2021,1080499.303,1108112.674,1127128.731
2022,1087396.496,1114788.265,1134340.414
2023,1087273.749,1114670.718,1134212.048
2024,1085942.11,1113390.217,1132819.666
2025,1081900.275,1109497.647,1128593.501
2026,1072177.995,1100100.588,1118427.864
2027,1068604.197,1096616.562,1114691.079
2028,1080796.663,1108541.196,1127439.501
2029,1071159.837,1099217.091,1117363.213
2030,1073092.186,1101103.483,1119383.656
2031,1065440.852,1093649.988,1111383.4
2032,1058031.754,1086382.04,1103636.426
2033,1066717.352,1094960.26,1112718.066
2034,1071234.248,1099387.204,1117440.91
2035,1069012.83,1097219.52,1115118.174
2036,1062873.658,1091215.813,1108699.035
2037,1056480.807,1084929.443,1102014.649
2038,1052993.709,1081481.014,1098368.517
2039,1066987.206,1095365.648,1113000.097
2040,1064278.889,1092712.428,1110168.258
2041,1071228.647,1099538.849,1117434.905
2042,1064631,1093098.646,1110536.383
2043,1062565.005,1091070.211,1108376.158
2044,1062469.342,1090976.453,1108276.11
2045,1061773.71,1090292.446,1107548.737
2046,1065675.088,1094134.093,1111627.995
2047,1067088.473,1095521.003,1113105.81
2048,1064104.914,1092598.102,1109986.179
2049,1067813.001,1096241.294,1113863.334
2050,1059604.802,1088204.22,1105280.819
2051,1049522.692,1078257.544,1094738.944
2052,1049900.816,1078634.337,1095134.289
2053,1053442.771,1082160.261,1098837.736
2054,1039011.958,1067842.295,1083748.855
2055,1041216.793,1070059.656,1086054.21
