"","v_bh","v_con","v_new"
"361",914366.318269822,938523.775810039,914366.318269822
"362",1181377.59961517,1206304.99651584,1197684.04271616
"363",1036504.54834486,1069774.11135777,1076390.68305431
"364",848962.034040105,858027.513455159,848962.034040105
"365",1336747.267619,1338174.56166586,1327422.04041681
"366",832798.072279058,837952.038003717,832798.072279058
"367",788250.367323852,777300.33845063,788250.367323852
"368",1005842.21137061,1039588.12505882,1005842.21137061
"369",803903.164393482,798734.2587917,803903.164393482
"370",824415.975027195,825910.647991492,824415.975027195
"371",1444517.26365393,1426751.36752468,1448989.70726511
"372",1130977.38772544,1163651.13169478,1155416.7571941
"373",1140995.83833524,1170444.4625515,1166110.92640757
"374",1317948.61779512,1322930.73592448,1311806.90020659
"375",1039618.58442912,1071857.06506553,1080517.41533408
"376",1391251.24214792,1382061.15475622,1371900.19828172
"377",747164.099890837,716542.136727389,747164.099890837
"378",1519163.43982792,1480745.65443263,1478573.58631182
"379",1173715.55956554,1201605.21930024,1192517.41588699
"380",1692080.16691336,1600424.14192564,1620552.25221817
"381",1246871.71635078,1266812.74354804,1251773.63212497
"382",1483449.85490274,1453871.76656165,1448796.66644362
"383",1040598.95554577,1074566.33028253,1079812.32557698
"384",964840.830121762,994839.644240664,964840.830121762
"385",1131984.33139761,1161598.42718869,1157273.99488317
"386",1394326.23283647,1385796.25941413,1374448.60653995
"387",1005119.4244254,1038051.72042329,1005119.4244254
"388",1652791.07634156,1576155.91455188,1592898.94768082
"389",2133122.60998606,1876714.79477195,1945047.89326206
"390",988527.760693963,1019507.94458392,988527.760693963
"391",920455.34902949,943601.692228345,920455.34902949
"392",922072.282724406,945049.114412502,922072.282724406
"393",1105103.11906876,1136050.91708354,1105103.11906876
"394",832456.573465168,838161.793099973,832456.573465168
"395",966262.389856274,994470.221319777,966262.389856274
"396",945997.812005551,972858.026286944,945997.812005551
"397",1001927.43966217,1034735.91759843,1001927.43966217
"398",946654.030543574,972919.654837993,946654.030543574
"399",907174.652930376,928402.505023783,969459.31474465
"400",1311823.79766014,1318794.54913108,1306366.19190803
"401",879021.395176109,894186.554506359,879021.395176109
"402",793506.297274934,783848.630078352,793506.297274934
"403",905756.61146309,927067.965645167,905756.61146309
"404",843620.965775051,851292.001138484,916201.615148248
"405",1193446.38686673,1217433.66092964,1207445.94520047
"406",780178.09558952,766387.866916871,780178.09558952
"407",1026815.4260263,1058441.5704251,1026815.4260263
"408",1074691.43897173,1106459.99630987,1108132.54973487
"409",880776.824575864,896324.840610249,880776.824575864
"410",1007526.12517505,1039741.43814313,1007526.12517505
"411",986772.495534216,1017349.09564762,986772.495534216
"412",1111957.1999602,1142257.9707156,1140715.70606088
"413",1118990.05581081,1146937.2717238,1118990.05581081
"414",1339184.52722134,1339780.69710442,1329691.57657297
"415",2693641.52115663,2173456.17013346,2261812.05676237
"416",1579718.65990313,1526088.99330571,1540175.36240075
"417",1050058.85895415,1082422.6504675,1088834.05857441
"418",1238318.79907671,1257107.44996234,1238318.79907671
"419",854564.739213803,865165.777956161,927603.104530176
"420",696637.28358932,637091.107368648,696637.28358932
"421",857782.853594181,869425.315264914,857782.853594181
"422",983817.695688509,1015251.78118947,1033229.59199577
"423",1068146.78333332,1099837.97529408,1103466.212437
"424",964568.803154387,992684.634518063,1018313.28103238
"425",1051678.45796668,1085662.77830336,1051678.45796668
"426",1247210.32613342,1266151.43848486,1252325.1380153
"427",1058132.1490365,1091668.61908519,1096248.79672632
"428",1040172.55890555,1072030.24953266,1080372.75194883
"429",1481949.64924325,1452204.19448055,1447645.33903622
"430",851920.668841701,862902.680816178,851920.668841701
