"","v_bh","v_con","v_new"
"235",880747.604533227,897284.643686482,947008.522049723
"236",1061464.31341668,1093518.60722529,1098451.00321755
"237",827244.465657366,830615.429899726,827244.465657366
"238",1078026.6440577,1110211.04709729,1078026.6440577
"239",1343247.02074009,1343420.05142388,1332490.18291046
"240",975314.975738044,1004525.75997384,975314.975738044
"241",1488772.75668478,1457937.06687992,1478084.86729061
"242",891024.607617968,909551.963558399,891024.607617968
"243",1256723.70425342,1273616.29859485,1260574.20622387
"244",1098406.32449397,1130163.07689874,1127874.03965318
"245",770846.500199794,752570.66873666,770846.500199794
"246",1303633.68425846,1312150.53617095,1299723.45524661
"247",1024589.18787953,1056633.03229989,1066520.8766671
"248",790088.847860887,779307.214053939,790088.847860887
"249",1068403.67906676,1101307.61733193,1102976.6781869
"250",1172170.55781513,1199492.76523303,1191153.51929695
"251",936140.434990403,961908.373083124,936140.434990403
"252",1225429.38235116,1246143.0221646,1234803.97496997
"253",1420121.24538145,1404653.62748375,1396329.25895889
"254",988598.172116777,1019642.92336109,988598.172116777
"255",1556689.00862713,1506967.01936968,1524791.828751
"256",2221945.99719781,1929793.05876736,1985732.27630079
"257",939376.1793399,964536.537132218,939376.1793399
"258",1000132.94954222,1031725.94412205,1000132.94954222
"259",1634943.0989597,1562477.43575745,1574937.33557521
"260",955914.752783065,984077.700775917,955914.752783065
"261",1168640.68462018,1196696.95799694,1168640.68462018
"262",2050952.18410787,1827652.64158041,1867645.98074898
"263",801989.89793806,797344.310915433,801989.89793806
"264",1028064.21254503,1058264.62169156,1028064.21254503
"265",902608.306058751,923336.744973058,902608.306058751
"266",1125248.20941016,1157342.44724548,1125248.20941016
"267",932430.788654004,958351.831047535,932430.788654004
"268",937899.421165986,963776.971387284,937899.421165986
"269",1022510.60642214,1054167.89179543,1022510.60642214
"270",1157838.87916775,1183814.39204244,1178293.90677743
"271",812063.446802326,811274.999909313,812063.446802326
"272",1260779.55484087,1277638.35457979,1260779.55484087
"273",802202.546785272,796978.908684058,802202.546785272
"274",1126794.02357185,1155760.93798433,1126794.02357185
"275",2021749.09619455,1811809.99663051,1846862.60638325
"276",1001084.52887903,1032076.66785914,1001084.52887903
"277",938680.873640568,965062.096786228,938680.873640568
"278",1207362.10421223,1231420.83119797,1218951.11258647
"279",1498842.11600046,1464465.60993313,1485118.77465979
